File Name,Duration (ss),Fundamental Frequency (Hz),Mean Pitch (Hz),Pitch Sigma (Hz),Minimum Pitch (Hz),Maximum Pitch (Hz),No. of Pulses,No. of periods,Mean Period (ss),Standard Deviation of Period (ss),Fraction of Locally unvoiced frames (%),No. of voice breaks,Degree of voice breaks,Mean auto - correlation,Mean noise-to-harmonics ratio,Mean harmonics-to-noice ratio (dB),Peak Amplitude Channel 1  (dB),Peak Amplitude Channel 2  (dB),Bit Rate (kbs),Sample Rate (Hz),Resolution (bits),No of Samples,Size on memory  (kB),Size on disk (MB),Channels,Source
speaker1_00,60.03,155.449136,155.449,40.954,76.401,595.867,4458,4319,6.46E-03,1.42E-03,50.75%,128,50.46%,0.879746,0.165996,10.986,-2.08,-7.02,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_01,60.03,148.55562,148.556,34.376,78.64,581.55,4030,3914,6.73E-03,1.43E-03,53.60%,108,55.92%,0.888325,0.153962,11.626,-4.6,-10.31,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_02,60.03,145.306523,145.307,38.117,74.808,553.119,4024,3893,6.91E-03,1.47E-03,52.63%,125,55.05%,0.880206,0.166294,11.015,-3.65,-7.97,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_03,60.03,147.912099,147.912,36.828,68.095,589.918,4116,3994,6.79E-03,1.46E-03,52.17%,114,53.64%,0.891609,0.147118,11.735,-5.65,-7.96,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_04,60.03,150.163581,150.164,35.449,77.557,557.195,3624,3507,6.68E-03,1.41E-03,58.25%,112,60.34%,0.883476,0.159818,11.145,-3.26,-6.45,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_05,60.034979,147.447288,147.447,42.173,69.238,559.534,4018,3903,6.82E-03,1.63E-03,53.10%,104,55.38%,0.884001,0.160055,11.484,-4.98,-9.2,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_06,60.034979,138.428902,138.429,37.552,76.718,596.054,3647,3525,7.26E-03,1.56E-03,54.43%,108,56.82%,0.872836,0.177816,10.787,-5.03,-6.23,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_07,60.034979,128.484654,128.485,26.264,78.682,411.371,3691,3572,7.81E-03,1.51E-03,50.20%,114,52.77%,0.876479,0.166994,10.565,-6.08,-8.62,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_08,60.034979,143.929268,143.929,43.185,75.88,596.639,3711,3575,6.98E-03,1.61E-03,55.15%,128,58.18%,0.86842,0.184426,10.473,-4.61,-6.45,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_09,60.034979,136.31225,136.312,43.315,76.46,585.347,3845,3718,7.38E-03,1.74E-03,51.60%,120,54.17%,0.875392,0.170872,10.772,-7.73,-8.52,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_10,60.034979,144.240565,144.241,40.652,75.3,564.456,3774,3640,6.98E-03,1.65E-03,55.05%,119,56.28%,0.875837,0.171824,10.821,-6.34,-7.97,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_11,60.034979,144.257494,144.257,47.536,74.97,599.389,4021,3880,6.98E-03,1.80E-03,51.12%,128,53.47%,0.878851,0.167376,11.108,-6.56,-11.16,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_12,60.034979,147.156625,147.157,52.623,78.455,595.176,3769,3633,6.85E-03,1.73E-03,55.70%,108,55.12%,0.873638,0.176255,10.755,-8.15,-7.53,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_13,60.034979,149.723892,149.724,53.416,77.228,588.193,3675,3546,6.74E-03,1.72E-03,57.65%,105,57.45%,0.880132,0.168179,11.401,-7.15,-8.21,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_14,60.034979,147.785115,147.785,41.191,75.737,591.91,4196,4068,6.79E-03,1.53E-03,50.65%,120,52.74%,0.881979,0.163063,11.19,-6.61,-8.85,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
speaker1_15,60.034979,148.971074,148.971,47.27,75.312,596.726,4363,4230,6.73E-03,1.69E-03,49.72%,122,50.27%,0.883975,0.160647,11.474,-6.52,-8.36,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.m.wikipedia.org/wiki/Holi
